timestamp,RECORD,batt_volt,PTemp,TcRafat(1),TcRafat(2),TcRafat(3),TcRafat(4),TcRafat(5),TcRafat(6)
2020-08-15 21:36:50,93699,12.52588,29.65018,18.77097,20.4999,20.98582,21.03622,23.79309,26.7503
2020-08-15 21:36:52,93700,12.52588,29.68407,18.75635,20.58397,20.96132,21.0927,23.78474,26.72085
2020-08-15 21:36:54,93701,12.53699,29.65018,18.77097,20.43263,20.92852,20.97587,23.76958,26.75558
2020-08-15 21:36:56,93702,12.52588,29.65018,18.7226,20.56566,20.84451,20.97812,23.73462,26.785
2020-08-15 21:36:58,93703,12.52032,29.65018,18.75252,20.6948,20.85981,20.93542,23.69137,26.7601
2020-08-15 21:37:00,93704,12.52032,29.65018,18.82234,20.72537,20.8705,20.91862,23.6473,26.67934
2020-08-15 21:37:02,93705,12.53699,29.65018,18.81158,20.85141,20.82925,20.90182,23.63517,26.70725
2020-08-15 21:37:04,93706,12.52588,29.65018,18.76478,20.99422,20.80249,20.87662,23.61087,26.79179
2020-08-15 21:37:06,93707,12.51477,29.65018,18.75791,20.99422,20.76888,20.88959,23.60252,26.72162
2020-08-15 21:41:08,93828,12.53679,29.51689,19.43951,20.30511,20.6063,20.49165,23.55411,26.79951
2020-08-15 21:41:10,93829,12.52568,29.54852,19.42113,20.26921,20.63152,20.49854,23.59809,26.8319
2020-08-15 21:41:12,93830,12.52568,29.51689,19.43951,20.37855,20.69495,20.50694,23.57303,26.82597
2020-08-15 21:41:14,93831,12.50346,29.51689,19.46173,20.37088,20.67507,20.50694,23.57082,26.75721
2020-08-15 21:41:16,93832,12.50902,29.51689,19.55593,20.59101,20.59942,20.47331,23.54421,26.7889
2020-08-15 21:41:18,93833,12.51457,29.51689,19.65701,20.62464,20.5742,20.42133,23.51233,26.75269
2020-08-15 21:41:20,93834,12.50902,29.51689,19.57278,20.5123,20.53905,20.39763,23.50619,26.87492
2020-08-15 21:41:22,93835,12.51457,29.51689,19.51381,20.36935,20.55586,20.3877,23.55632,26.847
2020-08-15 21:41:24,93836,12.50346,29.54852,19.43266,20.26994,20.49701,20.37088,23.52068,26.8055
2020-08-15 21:41:26,93837,12.52013,29.54852,19.3905,20.29366,20.54898,20.33035,23.52371,26.8221
2020-08-15 21:41:28,93838,12.53124,29.51689,19.32843,20.19271,20.54898,20.32882,23.56395,26.8387
