timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 11:38:00,15.02685,15.13401,14.68931,14.53552,,21.0003
2022-01-11 11:39:00,14.63832,14.77481,14.77961,14.63333,,21.00132
2022-01-11 11:40:00,14.54829,14.64252,14.72844,14.59985,,21.01818
2022-01-11 11:41:00,14.9217,14.93737,15.14473,14.94038,,21.02357
2022-01-11 11:42:00,15.33063,15.36269,14.80649,14.70448,,21.03506
2022-01-11 11:43:00,14.54302,14.72639,14.62405,14.48396,,21.01117
2022-01-11 11:44:00,14.30932,14.45176,14.39918,14.21637,,21.00983
2022-01-11 11:45:00,14.46187,14.52012,14.51917,14.35222,,21.01699
2022-01-11 11:46:00,14.34855,14.40722,14.45952,14.24225,,21.02527
2022-01-11 11:47:00,14.27669,14.39311,14.46971,14.14301,,21.02295
2022-01-11 11:48:00,14.76867,14.7274,14.72819,14.38319,,21.03314
2022-01-11 11:49:00,14.80963,14.83109,15.01887,14.66491,,21.0366
2022-01-11 11:50:00,14.78288,14.82842,15.30587,15.02909,,21.0316
2022-01-11 11:51:00,15.01551,15.08914,15.19734,15.04447,,21.01829
2022-01-11 11:52:00,14.77995,14.88139,15.11253,14.95918,,21.03833
2022-01-11 11:53:00,14.96656,15.00106,15.17541,14.97537,,21.02871
2022-01-11 11:54:00,14.7455,14.86093,14.96185,14.88029,,21.03017
2022-01-11 11:55:00,14.66332,14.76273,15.13518,15.02357,,21.04079
2022-01-11 11:56:00,14.66779,14.7663,14.95904,14.86392,,21.0357
2022-01-11 11:57:00,14.58576,14.66916,14.86555,14.71441,,21.03538
2022-01-11 11:58:00,14.77469,14.84479,14.94612,14.84124,,21.04204
2022-01-11 11:59:00,15.11785,15.15581,15.14117,14.95816,,21.04498
2022-01-11 12:00:00,15.36406,15.44055,15.25743,15.13509,,21.04511
2022-01-11 12:01:00,14.52001,14.64334,14.74699,14.6657,,21.03314
2022-01-11 12:02:00,14.38638,14.5157,14.65811,14.5202,,21.04078
2022-01-11 12:03:00,14.64721,14.68803,14.96077,14.68416,,21.03436
2022-01-11 12:04:00,14.59698,14.68125,15.10265,14.84339,,21.05398
2022-01-11 12:05:00,15.16492,15.15598,15.24948,15.04959,,21.05795
2022-01-11 12:06:00,14.92083,15.03603,15.16109,14.98816,,21.05086
2022-01-11 12:07:00,15.19852,15.19902,15.24123,15.15031,,21.06266
2022-01-11 12:08:00,15.26642,15.24411,15.03506,14.94726,,21.06002
2022-01-11 12:09:00,15.31363,15.24647,15.04525,14.91238,,21.05481
2022-01-11 12:10:00,15.33374,15.28708,14.66096,14.5334,,21.06766
